CLAVE,PREGUNTA,TIPO_DATO,OPCIONES_O_RANGO,DEPENDENCIA,BLOQUE
P10101,Matrícula,Texto,Formato: AL + año (4d) + secuencial (4d),Ej: AL20210345,Identificación del solicitante
P10202,Apellido Paterno,Texto,Apellidos mexicanos,-,Identificación del solicitante
P10303,Apellido Materno,Texto,Apellidos mexicanos (diferente al paterno),-,Identificación del solicitante
P10404,Nombre(s),Texto,Nombres simples y compuestos,-,Identificación del solicitante
P10505,Correo institucional,Email,nombre.apellido@universidad.edu.mx,-,Identificación del solicitante
P10606,Correo personal,Email,"Dominios: gmail, hotmail, outlook, yahoo",-,Identificación del solicitante
P10707,Teléfono celular,Numérico 10d,Lada móvil mexicana + 8 dígitos,-,Identificación del solicitante
P10808,Fecha de solicitud,Fecha DD/MM/AAAA,01/01/2025 a 30/06/2025,-,Identificación del solicitante
P20109,Programa académico,Lista desplegable,"10 programas: ISC, LAE, LCP, LDE, LPS, IIN, LMK, LDG, IMC, LEN",-,Situación académica
P20210,Clave del programa,Lista (auto),"ISC-01, LAE-02, LCP-03, LDE-04, LPS-05, IIN-06, LMK-07, LDG-08, IMC-09, LEN-10",Coherente con P20109,Situación académica
P20311,Semestre/cuatrimestre actual,Numérico,1 a 12,-,Situación académica
P20412,¿Reprobó materia?,Binario,Sí / No,-,Situación académica
P20513,Materias reprobadas,Numérico (condicional),"1-6 (solo si P20412=Sí, sino NA)",Condicional: P20412=Sí,Situación académica
P20614,¿Consideró abandonar?,Binario,Sí / No,-,Situación académica
P20715,Razón de abandono,Lista (condicional),"Económica, Personal/Familiar, Académica, Laboral, Otra (solo si P20614=Sí, sino NA)",Condicional: P20614=Sí,Situación académica
P30116,Tipo de beca solicitada,Lista desplegable,"Beca de inscripción/reinscripción, Beca de colegiatura, Beca de transporte",-,Tipo de beca
P30217,Promedio general,Numérico (condicional),"7.0-10.0 con 1 decimal (solo si P30116=Beca de colegiatura, sino NA)",Condicional: P30116=Beca de colegiatura,Tipo de beca
P30318,Código postal domicilio,Texto 5d (condicional),"CPs válidos de zonas metropolitanas (solo si P30116=Beca de transporte, sino NA)",Condicional: P30116=Beca de transporte,Tipo de beca
P40119,¿Con quién vives?,Lista desplegable,Solo/a | Con padres o tutores | Con pareja | Con otros familiares | En residencia estudiantil,-,Perfil socioeconómico
P40220,Dependientes del ingreso,Lista desplegable,"1, 2, 3, 4, 5, 6, 7, 8+",-,Perfil socioeconómico
P40321,Ingreso mensual del hogar,Lista desplegable,"Menos de $5,000 | $5,001-$10,000 | $10,001-$15,000 | $15,001-$25,000 | Más de $25,000",-,Perfil socioeconómico
P40422,Fuente principal de ingreso,Lista desplegable,Padre | Madre | Tutor | El propio estudiante | Otro familiar | Beca o apoyo gubernamental,-,Perfil socioeconómico
P40523,¿Trabaja actualmente?,Binario,Sí / No,-,Perfil socioeconómico
P40624,Horas de trabajo semanal,Numérico (condicional),"4-48 (solo si P40523=Sí, sino NA)",Condicional: P40523=Sí,Perfil socioeconómico
P40725,¿Trabajo afín a carrera?,Binario (condicional),"Sí / No (solo si P40523=Sí, sino NA)",Condicional: P40523=Sí,Perfil socioeconómico
P50126,¿Cómo financias estudios?,Lista múltiple,"Apoyo familiar, Trabajo propio, Ahorro, Crédito educativo, Beca de otra institución, Apoyo gubernamental (1-3 opciones separadas por coma)",-,Situación financiera
P50227,¿Beca vigente de otra fuente?,Binario,Sí / No,-,Situación financiera
P50328,Detalle de beca vigente,Texto (condicional),"Nombre de beca + monto (solo si P50227=Sí, sino NA)",Condicional: P50227=Sí,Situación financiera
P50429,Gasto mensual en transporte,Numérico,0-3500 (pesos MXN),-,Situación financiera
P50530,¿Dejó de pagar mensualidad?,Binario,Sí / No,-,Situación financiera
P50631,¿Internet y computadora?,Lista desplegable,Sí a ambos | Solo internet | Solo computadora | Ninguno,-,Situación financiera
P60132,Estudios de la madre,Lista desplegable,Sin estudios | Primaria | Secundaria | Preparatoria | Licenciatura | Posgrado,-,Contexto familiar
P60233,Estudios del padre,Lista desplegable,Sin estudios | Primaria | Secundaria | Preparatoria | Licenciatura | Posgrado,-,Contexto familiar
P60334,¿Primera generación universitaria?,Binario,Sí / No,Coherente con P60132 y P60233,Contexto familiar
P60435,¿Orientación académica familiar?,Binario,Sí / No,-,Contexto familiar
P70136,¿Autoriza consulta de historial?,Binario,Sí / No (~95% Sí),-,Documentación
P70237,¿Información verídica?,Binario,Sí / No (~97% Sí),-,Documentación
P70338,¿Documentos completos?,Binario,Sí / No (~80% Sí),-,Documentación
